# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = fastbreak_model
# start_datetime = 2025-10-05 00:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sine_data.json
# init = 2 (Default)
# random
#   seed = 3103514897 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,psi.1,psi.2,psi.3,psi.4
# Adaptation terminated
# Step size = 0.0171387
# Diagonal elements of inverse mass matrix:
# 0.00238716, 0.158083, 0.857078, 0.987253, 0.2091, 0.280006, 0.632137, 0.00120071, 0.00116149, 0.00131869, 0.00236363
-120.0554,0.90399994,0.017138713,8,319,0,124.67934,0.97199798,0.15963156,8.1982479,-16.740849,16.478344,-14.997531,12.510381,0.78803035,2.3408326,3.9007493,5.4677868
-122.05864,0.99973449,0.017138713,8,255,0,125.71626,1.1133453,0.87789843,6.252429,-14.743642,16.469553,-16.247958,12.703875,0.84231751,2.330944,3.9411901,5.3714108
-124.92633,0.97343921,0.017138713,8,255,0,130.50894,1.0426204,0.011465201,7.5413979,-15.656751,15.659471,-14.891262,13.884369,0.82379854,2.3190451,3.887719,5.5013444
-127.30276,0.99887009,0.017138713,8,255,0,137.38789,1.0234151,-0.071137399,9.1254441,-17.238964,16.070846,-17.114654,14.823799,0.75455127,2.3662599,3.9786873,5.3585507
-124.90572,0.63335098,0.017138713,8,255,0,133.28171,1.0234835,-0.52353207,8.8569544,-17.325613,16.151987,-16.392471,11.318018,0.81008317,2.3422201,3.971647,5.2536115
-122.6371,0.99912228,0.017138713,7,127,0,127.16282,0.98731575,-0.44678983,8.9837084,-17.630975,16.122843,-15.79308,11.546746,0.80628688,2.3187958,3.9647189,5.3059735
-125.48634,0.97253037,0.017138713,8,255,0,132.77924,1.0644259,0.59476906,7.0409688,-14.441468,14.726397,-14.943054,13.79877,0.78355794,2.3753763,3.9434407,5.4661342
-122.8391,0.99248322,0.017138713,8,255,0,131.29189,1.0333013,0.20503792,7.2778673,-15.089438,15.04288,-15.130396,13.54722,0.7940337,2.3368057,3.9922868,5.4707701
-122.40073,0.99779633,0.017138713,8,255,0,127.38686,0.97465886,-0.39346819,8.1823379,-17.093155,17.38163,-16.104335,11.919333,0.84676497,2.3363085,3.8645111,5.3746603
-124.78816,0.88029308,0.017138713,8,255,0,129.32841,1.1294478,0.35930892,7.1665304,-14.662634,14.924657,-15.407683,13.909245,0.78213853,2.3707124,3.9519314,5.4210297
-120.4266,0.86363145,0.017138713,7,255,0,128.80221,1.006103,0.40403663,7.2432871,-15.754713,16.741188,-16.212734,12.402759,0.82507795,2.3678304,3.9220845,5.3730183
-119.70011,0.83005194,0.017138713,8,255,0,123.87259,0.95905686,-0.16539704,7.8319327,-16.009544,16.553779,-16.131484,11.911471,0.82502429,2.3853029,3.9015389,5.3607998
-120.92305,0.99609966,0.017138713,8,255,0,123.97549,1.0117618,0.6454307,7.1743513,-15.20862,16.337266,-15.629737,13.770952,0.78915016,2.3873486,3.9047553,5.5173031
-120.23544,0.94121608,0.017138713,8,511,0,124.03959,1.006917,0.45923735,6.7223783,-15.354001,16.419099,-15.774037,11.493857,0.8612569,2.3385989,3.9554717,5.3313645
-118.0605,0.94238124,0.017138713,8,255,0,122.46594,1.0189853,-0.011959891,7.7716265,-16.173764,16.156216,-15.375803,13.602573,0.82367191,2.3353229,3.9141275,5.4324048
-120.54901,0.97661469,0.017138713,8,255,0,122.27558,0.92165453,0.4551915,7.0381626,-15.403596,16.877804,-16.280905,13.389937,0.82530138,2.3686776,3.8812173,5.4154681
-120.63405,0.9700196,0.017138713,8,255,0,125.17433,1.0867388,-0.22339306,8.3211584,-16.990606,16.010775,-14.756526,12.33806,0.81466763,2.3068688,3.9496657,5.4273905
-123.39317,0.71732683,0.017138713,8,255,0,127.51249,0.99796175,0.57378771,6.6115556,-14.630844,16.5059,-16.736714,12.611137,0.83568937,2.3859437,3.9110542,5.3382894
-122.62392,0.9708273,0.017138713,8,255,0,128.22419,1.0484856,-0.48099416,8.4882667,-16.888968,15.734323,-14.752091,12.868154,0.79895412,2.3139226,3.9461619,5.4571961
-129.18337,0.65181153,0.017138713,8,255,0,136.69338,1.0533753,0.29816727,6.2992363,-14.543196,16.983574,-17.357566,12.734103,0.87758311,2.3791141,3.9117882,5.2897341
-121.09332,0.99363065,0.017138713,7,127,0,131.80536,1.0984632,0.70036084,6.7440702,-15.164147,16.614026,-16.164966,12.553422,0.82887554,2.3582476,3.9182476,5.3525728
